timestamp_ns,side,price,qty,confidence
388213415485041,buy,0.0,0.0010,0.9618
388213466226625,buy,0.0,0.0010,0.9618
388213516590333,buy,0.0,0.0010,0.9618
388213566898583,buy,0.0,0.0010,0.9999
388213617957541,buy,0.0,0.0010,0.9999
388213669040625,buy,0.0,0.0010,0.9999
388213719806125,buy,0.0,0.0010,1.0000
388213770888750,buy,0.0,0.0010,1.0000
388213821938416,buy,0.0,0.0010,1.0000
388213872983291,buy,0.0,0.0010,1.0000
388213924069125,buy,0.0,0.0010,1.0000
388213974226958,buy,0.0,0.0010,1.0000
388214024671541,buy,0.0,0.0010,1.0000
388214075135583,buy,0.0,0.0010,1.0000
388214125874916,buy,0.0,0.0010,1.0000
388214176150500,buy,0.0,0.0010,1.0000
388214227220125,buy,0.0,0.0010,1.0000
388214278287625,buy,0.0,0.0010,1.0000
388214328422500,buy,0.0,0.0010,1.0000
388214378849208,buy,0.0,0.0010,1.0000
388214429906416,buy,0.0,0.0010,1.0000
388214480429666,buy,0.0,0.0010,1.0000
388214531511125,buy,0.0,0.0010,1.0000
388214582587458,buy,0.0,0.0010,1.0000
388214633669083,buy,0.0,0.0010,1.0000
388214684753333,buy,0.0,0.0010,1.0000
388214735857916,buy,0.0,0.0010,1.0000
388214786524333,buy,0.0,0.0010,1.0000
388214837465666,buy,0.0,0.0010,1.0000
388214888660291,buy,0.0,0.0010,1.0000
388214939755291,buy,0.0,0.0010,1.0000
388214990785583,buy,0.0,0.0010,1.0000
388215041830625,buy,0.0,0.0010,1.0000
388215092889708,buy,0.0,0.0010,1.0000
388215144030250,buy,0.0,0.0010,1.0000
388215194887000,buy,0.0,0.0010,1.0000
388215245931791,buy,0.0,0.0010,1.0000
388215295984166,buy,0.0,0.0010,1.0000
388215346981750,buy,0.0,0.0010,1.0000
388215398043333,buy,0.0,0.0010,1.0000
388215449100333,buy,0.0,0.0010,1.0000
388215499668208,buy,0.0,0.0010,1.0000
388215550748958,buy,0.0,0.0010,1.0000
388215601196708,buy,0.0,0.0010,1.0000
388215651696416,buy,0.0,0.0010,1.0000
388215702615833,buy,0.0,0.0010,1.0000
388215753552750,buy,0.0,0.0010,1.0000
388215804120208,buy,0.0,0.0010,1.0000
388215855169416,buy,0.0,0.0010,1.0000
388215905735833,buy,0.0,0.0010,0.9999
388215956125583,buy,0.0,0.0010,1.0000
388216007146791,buy,0.0,0.0010,1.0000
388216058185333,buy,0.0,0.0010,1.0000
388216108790958,buy,0.0,0.0010,1.0000
388216159847750,buy,0.0,0.0010,1.0000
388216210905250,buy,0.0,0.0010,1.0000
388216261963666,buy,0.0,0.0010,1.0000
388216313020000,buy,0.0,0.0010,1.0000
388216364099625,buy,0.0,0.0010,1.0000
388216415189625,buy,0.0,0.0010,1.0000
388216466244583,buy,0.0,0.0010,1.0000
388216517345750,buy,0.0,0.0010,1.0000
388216568445916,buy,0.0,0.0010,1.0000
388216619530791,buy,0.0,0.0010,1.0000
388216670592500,buy,0.0,0.0010,1.0000
388216721641916,buy,0.0,0.0010,0.8061
388216772385625,buy,0.0,0.0010,0.6953
388216823148750,buy,0.0,0.0010,0.9618
388216873553375,buy,0.0,0.0010,1.0000
388216924611625,buy,0.0,0.0010,1.0000
388216975135625,buy,0.0,0.0010,1.0000
388217025399791,buy,0.0,0.0010,1.0000
388217109027541,buy,0.0,0.0010,1.0000
388217159464916,buy,0.0,0.0010,1.0000
388217210342416,buy,0.0,0.0010,1.0000
388217260439541,buy,0.0,0.0010,1.0000
388217311496041,buy,0.0,0.0010,1.0000
388217361968416,buy,0.0,0.0010,1.0000
388217413027708,buy,0.0,0.0010,1.0000
388217464079958,buy,0.0,0.0010,1.0000
388217515128458,buy,0.0,0.0010,1.0000
388217566188666,buy,0.0,0.0010,1.0000
388217617229583,buy,0.0,0.0010,1.0000
388217668297958,buy,0.0,0.0010,1.0000
388217718914541,buy,0.0,0.0010,1.0000
